Date,benchmark,GDP,CSUSHPINSA,DGS10,TEDRATE,FEDFUNDS,PCE,UNRATE,RECPROUSM156N,VIXCLS,XOI Index,YIELD_SLOPE,XAU Curncy,CSENT,PAYEMS,OAS,SP500
8/31/2001,0.015790907,0.0001,0.02487,0.0485,0.0016,0.0365,0.005190457,0.049,0.2378,0.152636448,0.001039615,0.01203,0.029064317,-0.106010929,-0.001825274,0.0924,-0.064108386
9/30/2001,0.106325301,0.0001,0.01942,0.046,0.0024,0.0307,-0.0127762,0.05,0.2298,0.281300161,-0.092356746,0.01737,0.068695335,0.011002445,-0.002481145,0.098,-0.08172339
10/31/2001,0.035074045,0.00581,0.01269,0.043,0.0019,0.0249,0.027697454,0.053,0.1704,0.05104917,0.019692468,0.01809,-0.046376812,0.014510278,-0.002213483,0.0879,0.018099026
11/30/2001,0.037019075,0.00581,0.00739,0.0478,0.0028,0.0209,-0.005599846,0.055,0.1238,-0.289630513,-0.033801209,0.01911,-0.018773467,0.058402861,-0.001311215,0.0829,0.07517598
12/31/2001,-0.032984211,0.00581,0.00511,0.0507,0.0017,0.0182,-0.002718597,0.057,0.0508,-0.001677852,0.059474328,0.02025,0.016581633,0.047297297,-0.001030503,0.0815,0.007573829
1/31/2002,0.04100895,0.01244,0.00657,0.0507,0.0015,0.0173,0.003852573,0.057,0.018,-0.113865546,-0.022673513,0.01874,0.012905539,-0.024731183,-0.001039207,0.081,-0.015573828
2/28/2002,0.011522634,0.01244,0.00932,0.0488,0.0014,0.0174,0.005819028,0.057,0.0132,0.023707918,0.035182999,0.01816,0.049548752,0.055126792,-0.000160633,0.0733,-0.020766236
3/31/2002,-0.083018868,0.01244,0.01611,0.0542,0.0027,0.0173,0.002341695,0.057,0.0042,-0.194071329,0.075634884,0.01685,0.020569887,-0.028213166,-0.000596732,0.0716,0.036738861
4/30/2002,0.010678871,0.00926,0.02379,0.0511,0.0018,0.0175,0.009468578,0.059,0.0024,0.259195402,-0.04288971,0.018647,0.019164051,0.041935484,-3.82749E-05,0.0703,-0.061417652
5/31/2002,0.049639712,0.00926,0.0331,0.0508,0.0019,0.0175,-0.003240035,0.058,0.001,-0.088087631,0.00799483,0.018499,0.058680499,-0.046439628,0.000428695,0.0798,-0.009081455
6/30/2002,0.059731885,0.00926,0.03731,0.0486,0.0019,0.0175,0.006050425,0.058,0.0018,0.271271271,0.004615976,0.019861,-0.03705405,-0.046536797,-0.000642767,0.0936,-0.072464719
7/31/2002,0.150302557,0.00936,0.03758,0.0451,0.0014,0.0173,0.007887485,0.058,0.0062,0.261023622,-0.119208679,0.022249,-0.034663699,-0.005675369,-0.000107197,0.0979,-0.078994959
8/31/2002,-0.038656408,0.00936,0.03262,0.0414,0.0015,0.0174,0.003340427,0.057,0.0062,0.019044646,0.015567102,0.019919,0.030308022,-0.017123288,-0.000459464,0.0985,0.00488142
9/30/2002,0.154212692,0.00936,0.02583,0.0363,0.0025,0.0175,-0.003074238,0.057,0.0046,0.215992647,-0.093785034,0.019109,0.034532374,-0.06387921,0.000934673,0.1068,-0.110024343
10/31/2002,-0.000649351,0.00605,0.01981,0.0393,0.0027,0.0175,0.00581732,0.057,0.005,-0.215419501,-0.032637546,0.022228,-0.017926132,0.044665012,9.95032E-05,0.0965,0.086448827
11/30/2002,-0.010706638,0.00605,0.01531,0.0422,0.0023,0.0134,0.004083381,0.059,0.005,-0.116891458,0.015764875,0.021489,0.001258851,0.029691211,-0.001209227,0.0896,0.057069635
12/31/2002,-0.024644946,0.00605,0.01323,0.0383,0.0018,0.0124,0.007040188,0.06,0.0082,0.040727273,0.022868261,0.022178,0.093980827,-0.049596309,0.000704959,0.0818,-0.060332582
1/31/2003,0.033455644,0.01137,0.01197,0.04,0.0019,0.0124,0.003561687,0.058,0.0032,0.089098532,-0.04442306,0.022734,0.057750323,-0.030339806,-0.001140923,0.0843,-0.027414698
2/28/2003,0.049614862,0.01137,0.01334,0.0371,0.0016,0.0126,-0.000778415,0.059,0.0046,-0.049406481,-0.002646432,0.021817,-0.049436371,-0.028785982,-0.001602183,0.0804,-0.017003623
3/31/2003,-0.034769298,0.01137,0.01699,0.0383,0.0016,0.0125,0.007116827,0.059,0.006,-0.016199798,0.009651059,0.023144,-0.035719388,0.108247423,-0.000337843,0.0702,0.008357606
4/30/2003,-0.067115463,0.01252,0.02225,0.0389,0.002,0.0126,0.004483776,0.06,0.005,-0.27238422,0.001837337,0.023543,0.003259742,0.070930233,-5.37659E-05,0.0664,0.081044118
5/31/2003,-0.094736842,0.01252,0.02735,0.0337,0.0019,0.0126,0.000978895,0.061,0.001,-0.082036775,0.094089516,0.020482,0.076502732,-0.026058632,7.68126E-05,0.0634,0.050898661
6/30/2003,-0.000922509,0.01252,0.03031,0.0354,0.0023,0.0122,0.007002034,0.063,0.0006,0.002568053,0.005007533,0.022134,-0.049526684,0.013377926,0.000168975,0.0586,0.011322243
7/31/2003,0.056942278,0.02238,0.03188,0.0449,0.0017,0.0101,0.007885639,0.062,0.001,-0.001536885,-0.023983954,0.026657,0.022950346,-0.01760176,-0.000314854,0.0582,0.016223704
8/31/2003,-0.005044626,0.02238,0.03125,0.0445,0.0018,0.0103,0.012217683,0.061,0.0014,-0.044125192,0.038525601,0.024957,0.059827854,-0.017917133,0.000798906,0.0536,0.017873191
9/30/2003,-0.038612199,0.02238,0.0289,0.0396,0.0023,0.0101,-0.000621914,0.061,0.0002,0.219538379,0.000124974,0.024799,0.026095061,0.021664766,0.001558158,0.0492,-0.011944326
10/31/2003,-0.013978297,0.01649,0.02473,0.0433,0.0023,0.0101,0.002108204,0.06,0.0002,-0.291373239,0.021076308,0.024752,-0.002854548,0.045758929,8.43009E-05,0.0462,0.054961495
11/30/2003,-0.005123513,0.01649,0.02067,0.0434,0.0026,0.01,0.007578638,0.058,0.0006,0.013664596,0.009729134,0.022879,0.036174366,-0.011739594,0.000942558,0.0428,0.007128513
12/31/2003,-0.05105053,0.01649,0.0186,0.0427,0.0022,0.0098,0.003006138,0.057,0.0014,0.121936275,0.136471064,0.024266,0.043450961,0.120950324,0.001217281,0.0394,0.050765451
1/31/2004,-0.018073316,0.01452,0.01979,0.0416,0.0023,0.01,0.00790038,0.057,0.0002,-0.09175314,0.001208653,0.02313,-0.031291371,-0.090558767,0.000367034,0.0426,0.017276423
2/29/2004,-0.018245732,0.01452,0.02356,0.0399,0.0018,0.0101,0.004329812,0.056,0,-0.125075165,0.053489322,0.023301,-0.015654119,0.014830508,0.002530078,0.044,0.01220903
3/31/2004,-0.003669113,0.01452,0.03194,0.0386,0.0018,0.01,0.006057903,0.058,0.0004,0.150515464,0.000741465,0.02263,0.076486179,-0.016701461,0.001913737,0.0398,-0.016358936
4/30/2004,0.039708687,0.0161,0.03887,0.0453,0.0022,0.01,0.002536633,0.056,0.0002,0.02688172,0.018034554,0.021908,-0.093094149,-0.042462845,0.002336235,0.0425,-0.016790829
5/31/2004,-0.010127017,0.0161,0.04435,0.0466,0.0025,0.01,0.008757492,0.056,0.0006,-0.098312973,0.00023157,0.021145,0.022753717,0.059866962,0.000584596,0.0407,0.012083446
6/30/2004,-0.008846546,0.0161,0.04462,0.0462,0.003,0.0103,-0.001010605,0.056,0.0102,-0.07483871,0.054158192,0.019034,-0.003286563,0.011506276,0.000341447,0.0401,0.017989078
7/31/2004,-0.007262287,0.0153,0.04214,0.045,0.0028,0.0126,0.008056456,0.055,0.001,0.068340307,0.022307282,0.017976,-0.008116677,-0.008273009,0.00090263,0.0408,-0.034290523
8/31/2004,-0.040045396,0.0153,0.03687,0.0413,0.0023,0.0143,0.002865537,0.054,0.0008,-0.001958225,-0.018766879,0.017256,0.048075694,-0.017726799,0.001227682,0.0387,0.002287333
9/30/2004,-0.002909796,0.0153,0.03049,0.0414,0.0034,0.0161,0.009476273,0.054,0.0006,-0.127534336,0.092720307,0.015144,0.020495303,-0.026539278,0.002618871,0.0373,0.009363906
10/31/2004,-0.041227526,0.01572,0.02599,0.0405,0.003,0.0176,0.005362475,0.055,0,0.21964018,-0.004450869,0.014751,0.02462642,0.011995638,0.000498249,0.0329,0.014014248
11/30/2004,-0.041307578,0.01572,0.02399,0.0436,0.0022,0.0193,0.004811176,0.054,0.001,-0.186232329,0.06931846,0.013525,0.05226928,0.046336207,0.000973365,0.031,0.038594939
12/31/2004,-0.020378457,0.01572,0.02295,0.0424,0.0038,0.0216,0.006868911,0.054,0,0.003776435,-0.030557236,0.011531,-0.027719259,-0.016477858,0.001025185,0.032,0.032458128
1/31/2005,-0.014064294,0.02003,0.02457,0.0414,0.0027,0.0228,0.00055187,0.053,0.0018,-0.035364936,0.033822387,0.008564,-0.036150074,-0.014659686,0.001799767,0.0305,-0.025290448
2/28/2005,-0.021210844,0.02003,0.02813,0.0436,0.002,0.025,0.006395813,0.054,0.0006,-0.057722309,0.155437217,0.007808,0.030880265,-0.015940489,0.001014778,0.0298,0.018903384
3/31/2005,-0.001402721,0.02003,0.03725,0.045,0.0039,0.0263,0.00545728,0.052,0.002,0.160596026,-0.01029731,0.00707,-0.016756571,-0.052915767,0.002733369,0.0378,-0.019117647
4/30/2005,-0.023692139,0.01251,0.04284,0.0421,0.0037,0.0279,0.010832125,0.052,0.0006,0.092011412,-0.042051799,0.005481,0.014123964,-0.009122007,0.001325515,0.0423,-0.02010859
5/31/2005,-0.012442521,0.01251,0.047,0.04,0.0041,0.03,-0.004050069,0.051,0.0008,-0.131939909,0.011926482,0.004074,-0.039479742,0.104718067,0.001832324,0.039,0.029952025
6/30/2005,-0.044085326,0.01251,0.04515,0.0394,0.0046,0.0304,0.010909384,0.05,0.0008,-0.094055681,0.075495214,0.002799,0.043738766,0.005208333,0.002791982,0.0349,-0.000142677
7/31/2005,-0.020514119,0.01783,0.04251,0.0428,0.0036,0.0326,0.010552346,0.05,0.005,-0.039036545,0.060812331,0.002613,-0.013088404,-0.076683938,0.001459104,0.0337,0.035968204
8/31/2005,-0.008537351,0.01783,0.03763,0.0402,0.0043,0.035,0.000530001,0.049,0.0156,0.089023336,0.078962719,0.002023,0.012563983,-0.136924804,0.000498049,0.0364,-0.011222026
9/30/2005,-0.030314098,0.01783,0.03256,0.0434,0.006,0.0362,0.005748033,0.05,0.1036,-0.053968254,0.058006488,0.001591,0.078354779,-0.035110533,0.000624108,0.0358,0.00694894
10/31/2005,0.075834971,0.01334,0.02671,0.0457,0.0037,0.0378,0.004034246,0.05,0.0028,0.285234899,-0.084260111,0.001768,-0.008757724,0.099730458,0.002532003,0.0362,-0.017740741
11/30/2005,0.000524178,0.01334,0.02137,0.0449,0.0056,0.04,0.003136301,0.05,0.0002,-0.212793734,-0.013402731,0.000772,0.059953997,0.121323529,0.001162817,0.0365,0.035186121
12/31/2005,-0.00196181,0.01334,0.01408,0.0439,0.0055,0.0416,0.00435039,0.049,0.0002,0.000829187,0.014829136,-0.000085,0.048511398,-0.003278689,0.002056609,0.0355,-0.000952396
1/31/2006,-0.024993624,0.01997,0.01164,0.0453,0.0031,0.0429,0.008120264,0.047,0.0002,0.072908036,0.158355542,-0.000003,0.100386847,-0.049342105,0.002325547,0.0334,0.025466839
2/28/2006,-0.008847321,0.01997,0.01018,0.0455,0.0031,0.0449,0.003802156,0.048,0.001,-0.047104247,-0.09750678,-0.001236,-0.01291967,0.025374856,0.002077088,0.0325,0.000453097
3/31/2006,0.046145709,0.01997,0.01466,0.0486,0.0048,0.0459,0.003656387,0.047,0.0012,-0.076985413,0.037716645,0.000311,0.039355356,-0.016872891,0.001345104,0.0306,0.011064607
4/30/2006,-0.014207508,0.01106,0.01559,0.0507,0.0048,0.0479,0.006020877,0.047,0.0014,0.017559263,0.053346411,0.001922,0.12127131,-0.094965675,0.00018351,0.0302,0.012186928
5/31/2006,-0.012866701,0.01106,0.01581,0.0512,0.005,0.0494,0.003339369,0.046,0.002,0.418464193,-0.026116028,0.000856,-0.014103877,0.073324905,0.000579787,0.0328,-0.030916901
6/30/2006,-0.016824794,0.01106,0.00985,0.0515,0.0061,0.0499,0.003209388,0.046,0.001,-0.204379562,0.050254505,-0.000134,-0.045489771,-0.002355713,0.001510973,0.0337,8.6608E-05
7/31/2006,-0.045174538,0.00788,0.00528,0.0499,0.005,0.0524,0.008250932,0.047,0.0008,0.142966361,0.043419456,0.000294,0.033936835,-0.031877214,0.001340247,0.0342,0.005085813
8/31/2006,-0.027144536,0.00788,0.00022,0.0474,0.0048,0.0525,0.000876031,0.047,0.001,-0.176588629,-0.048160335,-0.000496,-0.014840989,0.041463415,0.001119035,0.0343,0.021274263
9/30/2006,0.026785714,0.00788,-0.00184,0.0464,0.006,0.0525,0.00270051,0.045,0.0018,-0.026807474,-0.053835813,-0.000553,-0.046229874,0.096018735,5.84462E-05,0.0325,0.024566274
10/31/2006,-0.050630011,0.01135,-0.00303,0.0461,0.0042,0.0525,0.00206517,0.044,0.0016,-0.07345576,0.047017576,-0.000945,0.013872639,-0.016025641,0.001526818,0.0314,0.031508029
11/30/2006,-0.024035774,0.01135,-0.00423,0.0446,0.0047,0.0525,0.001901565,0.045,0.0012,-0.017117117,0.067940889,-0.001503,0.068249258,-0.004343105,0.00124731,0.03,0.01646661
12/31/2006,-0.004673417,0.01135,-0.00527,0.0471,0.0047,0.0524,0.009044448,0.044,0.0008,0.059578368,-0.019588913,-0.001058,-0.017438272,0.056706652,0.00174843,0.0276,0.012615751
1/31/2007,0.002789556,0.01186,-0.00723,0.0483,0.0037,0.0525,0.003845952,0.046,0.0028,-0.098615917,-0.020114967,-0.001085,0.025914874,-0.057791538,0.000647244,0.0262,0.014059085
2/28/2007,-0.043236895,0.01186,-0.00632,0.0456,0.0034,0.0526,0.003946363,0.045,0.0004,0.479846449,-0.017908217,-0.000766,0.024724434,-0.031763417,0.001380864,0.0286,-0.021846145
3/31/2007,-0.035423746,0.01186,-0.00568,0.0465,0.0045,0.0526,0.004254077,0.044,0.0004,-0.050583658,0.063747354,0.000699,-0.008291626,-0.014705882,0.000580615,0.0274,0.009979955
4/30/2007,-0.038895487,0.01328,-0.00323,0.0463,0.0057,0.0525,0.004049171,0.045,0,-0.028688525,0.045021417,0.000312,0.022069901,0.013777268,0.001037247,0.0257,0.043290683
5/31/2007,-0.009314639,0.01328,-0.00323,0.049,0.0076,0.0525,0.003960457,0.044,0.0008,-0.082278481,0.076148442,-0.000202,-0.026457366,-0.033975085,0.000543447,0.0261,0.032549229
6/30/2007,0.059086189,0.01328,-0.00357,0.0503,0.0068,0.0525,0.001483175,0.046,0.002,0.243678161,0.030748761,0.001662,-0.016426949,0.05978898,-0.000246229,0.0335,-0.01781631
7/31/2007,0.040518639,0.01022,-0.00626,0.0478,0.0054,0.0526,0.0037333,0.047,0.0038,0.449168207,-0.033626021,0.002214,0.022550604,-0.077433628,-0.000144876,0.0431,-0.031981907
8/31/2007,-0.017515924,0.01022,-0.00902,0.0454,0.0171,0.0502,0.004200992,0.046,0.0032,-0.005952381,0.002385304,0.003972,0.013548096,0,0.000637547,0.0442,0.012863592
9/30/2007,-0.027863777,0.01022,-0.01333,0.0459,0.0151,0.0494,0.003765076,0.047,0.0056,-0.230111206,0.054467842,0.00603,0.104411109,-0.029976019,0.00060818,0.0416,0.035794001
10/31/2007,-0.059679767,0.00794,-0.01912,0.0448,0.0105,0.0476,0.00166709,0.047,0.0182,0.029444444,0.038572371,0.005256,0.071543841,-0.059332509,0.000824885,0.0531,0.014822335
11/30/2007,0.002919708,0.00794,-0.02813,0.0397,0.0205,0.0449,0.007580755,0.047,0.026,0.234214787,-0.044166611,0.009432,-0.016629016,-0.007884363,0.000708528,0.0569,-0.044043424
12/31/2007,0.003319988,0.00794,-0.03221,0.0404,0.0141,0.0424,0.001913664,0.05,0.078,-0.0161784,0.090973951,0.009766,0.064003573,0.038410596,0.000122821,0.068,-0.008628489
1/31/2008,0.074042999,-0.00115,-0.03633,0.0367,0.0119,0.0394,0.001568217,0.05,0.1954,0.164444444,-0.121491312,0.015002,0.110831234,-0.096938776,-0.000606805,0.0725,-0.061163475
2/29/2008,0.033940577,-0.00115,-0.03408,0.0353,0.0125,0.0298,-0.00075277,0.049,0.3808,0.012977099,0.036884857,0.018934,0.051614297,-0.018361582,-0.000563804,0.0808,-0.034761162
3/31/2008,0.002936378,-0.00115,-0.03138,0.0345,0.0133,0.0261,0.004871581,0.051,0.5098,-0.035041447,-0.058469118,0.018272,-0.05852757,-0.099280576,-0.00151879,0.0739,-0.005959583
4/30/2008,-0.055178792,0.00985,-0.02192,0.0377,0.0144,0.0228,0.004038304,0.05,0.6208,-0.188207731,0.109944082,0.014742,-0.042916349,-0.044728435,-0.00134726,0.0669,0.047546685
5/31/2008,-0.033565045,0.00985,-0.01288,0.0406,0.0083,0.0198,0.004848376,0.054,0.7004,-0.142376142,0.057140933,0.014184,0.010198849,-0.056856187,-0.001175003,0.0673,0.010674153
6/30/2008,0.016042781,0.00985,-0.00816,0.0399,0.0091,0.02,0.005558143,0.056,0.773,0.343241727,-0.021929294,0.013526,0.043880429,0.085106383,-0.001546729,0.0775,-0.085962382
7/31/2008,0.075996092,0.00203,-0.00962,0.0399,0.0114,0.0201,0.000167498,0.058,0.9252,-0.04217119,-0.134095898,0.014383,-0.012210936,0.029411765,-0.001941861,0.082,-0.009859375
8/31/2008,0.007657805,0.00203,-0.01634,0.0383,0.0112,0.02,-0.001063924,0.061,0.9946,-0.099825632,-0.001963425,0.014447,-0.090744995,0.115873016,-0.003279166,0.0919,0.012190503
9/30/2008,0.159436834,0.00203,-0.02774,0.0385,0.0315,0.0181,-0.005630997,0.061,0.9998,0.907506053,-0.128469134,0.018635,0.04788546,-0.180654339,-0.003465419,0.1494,-0.090791453
10/31/2008,0.11861521,-0.01974,-0.03958,0.0401,0.0259,0.0097,-0.009907569,0.065,0.8774,0.520436659,-0.172582291,0.02405,-0.168896033,-0.039930556,-0.005619709,0.1796,-0.169424534
11/30/2008,-0.012054948,-0.01974,-0.05003,0.0293,0.0221,0.0039,-0.013232098,0.068,0.9984,-0.076974453,0.012041266,0.019393,0.130137459,0.086799277,-0.00512026,0.2031,-0.074849032
12/31/2008,0.028695025,-0.01974,-0.05786,0.0225,0.0132,0.0016,-0.010861621,0.073,1,-0.276410999,0.011825703,0.01448,0.078234827,0.018302829,-0.005880783,0.1673,0.007821566
1/31/2009,0.011670314,-0.01141,-0.06157,0.0287,0.0094,0.0015,0.004915745,0.078,1,0.121,-0.045290299,0.01894,0.051924494,-0.080065359,-0.005236735,0.1654,-0.085657348
2/28/2009,0.143834474,-0.01141,-0.05414,0.0302,0.01,0.0022,-0.001674819,0.083,0.9976,0.03367529,-0.117030717,0.02043,0.015595193,0.017761989,-0.006171682,0.1784,-0.109931225
3/31/2009,-0.015280973,-0.01141,-0.03953,0.0271,0.0098,0.0018,-0.003355258,0.087,0.999,-0.04768069,0.030538233,0.018669,-0.024376008,0.136125654,-0.00518381,0.156,0.085404508
4/30/2009,-0.01153159,-0.00302,-0.01613,0.0316,0.0088,0.0015,-0.000102639,0.09,0.983,-0.173085637,0.029762534,0.0222,-0.033882634,0.055299539,-0.002647128,0.1251,0.093925076
5/31/2009,-0.0400686,-0.00302,0.00379,0.0347,0.0052,0.0018,0.001827159,0.094,0.897,-0.207671233,0.126471931,0.025448,0.102431885,0.030567686,-0.003581967,0.1081,0.053081427
6/30/2009,-0.039964077,-0.00302,0.02238,0.0353,0.004,0.0021,0.004907938,0.095,0.5966,-0.088865837,-0.069223289,0.024235,-0.053800118,-0.06779661,-0.002511048,0.1027,0.000195835
7/31/2009,-0.042743419,0.00305,0.02586,0.0352,0.003,0.0016,0.002814144,0.095,0.026,-0.016318786,0.046033301,0.023683,0.029681597,-0.004545455,-0.001629786,0.0897,0.074141757
8/31/2009,-0.008055713,0.00305,0.0168,0.034,0.002,0.0016,0.0128823,0.096,0.0072,0.003472222,0.018393675,0.024292,-0.002945493,0.118721461,-0.001686095,0.0845,0.033560173
9/30/2009,-0.004583781,0.00305,-0.00113,0.0331,0.0015,0.0015,-0.008683083,0.098,0.003,-0.0153787,0.046542988,0.023607,0.059409792,-0.039455782,-0.001566111,0.0776,0.035723384
10/31/2009,0.033845254,0.01268,-0.01433,0.0341,0.0023,0.0012,0.004982077,0.1,0.0036,0.198360016,0.027683417,0.024937,0.037461546,-0.045325779,-1.53781E-05,0.0756,-0.019761986
11/30/2009,-0.042973124,0.01268,-0.01805,0.0321,0.002,0.0012,0.002166334,0.099,0.001,-0.201368524,0.014979103,0.025346,0.128346645,0.075667656,-0.002114523,0.0694,0.057363997
12/31/2009,-0.044792085,0.01268,-0.01971,0.0385,0.0019,0.0012,0.005479535,0.099,0.001,-0.115463076,-0.000336899,0.027014,-0.070064342,0.026206897,0.000177226,0.0623,0.017770598
1/31/2010,0.046892497,0.00786,-0.02423,0.0363,0.0017,0.0011,0.000279983,0.098,0.0002,0.135608856,-0.048145964,0.027726,-0.014384948,-0.010752688,-0.000523879,0.0673,-0.036974262
2/28/2010,0.007158949,0.00786,-0.03312,0.0361,0.0012,0.0013,0.003128936,0.098,0.0002,-0.207961007,0.004219202,0.027999,0.033657048,0,0.001264135,0.0612,0.028513693
3/31/2010,-0.019189712,0.00786,-0.02106,0.0384,0.0013,0.0016,0.006058975,0.099,0,-0.097948718,0.058889204,0.028099,-0.003883356,-0.019021739,0.001870713,0.0559,0.058796368
4/30/2010,-0.027041571,0.01414,0.00276,0.0369,0.0019,0.002,0.001129216,0.099,0,0.253553155,0.01391047,0.026929,0.059088255,0.019390582,0.004026433,0.065,0.014759327
5/31/2010,0.061705471,0.01414,0.02775,0.0331,0.0038,0.002,0.003294779,0.096,0,0.454421769,-0.121104868,0.02519,0.031610731,0.032608696,-0.001048491,0.0702,-0.081975916
6/30/2010,0.018475415,0.01414,0.02848,0.0297,0.0035,0.0018,0.002534467,0.094,0.0018,0.077019021,-0.082887034,0.023297,0.021442078,-0.107894737,-0.000520965,0.0678,-0.053882377
7/31/2010,-0.067805804,0.01135,0.01472,0.0294,0.003,0.0018,0.001809973,0.094,0.0008,-0.319629415,0.107534913,0.023591,-0.049405174,0.016224189,-0.000275949,0.0676,0.068777833
8/31/2010,-0.010068466,0.01135,-0.00428,0.0247,0.0016,0.0019,0.006166354,0.095,0.0008,0.108510638,-0.053901332,0.019989,0.056223539,-0.010159652,-0.000398703,0.0642,-0.047449165
9/30/2010,-0.022697455,0.01135,-0.02106,0.0253,0.0013,0.0019,0.002127431,0.095,0.001,-0.090211132,0.115359276,0.020876,0.049013949,-0.007331378,0.002009649,0.0601,0.087551104
10/31/2010,-0.015627018,0.01146,-0.02996,0.0263,0.0017,0.0019,0.00728413,0.094,0.0006,-0.105485232,0.045376198,0.022636,0.038867746,0.05760709,0.000910949,0.0587,0.036855941
11/30/2010,0.025834658,0.01146,-0.03128,0.0281,0.0013,0.0019,0.005423591,0.098,0.0004,0.110377358,0.013246137,0.02344,0.019736649,0.040502793,0.000665382,0.0555,-0.002290283
12/31/2010,-0.021011673,0.01146,-0.02725,0.033,0.0018,0.0018,0.003490452,0.093,0.0002,-0.245964316,0.109063317,0.027001,0.02537097,-0.004026846,0.000328648,0.0512,0.065300072
1/31/2011,-0.015199898,0.00054,-0.02844,0.0342,0.0015,0.0017,0.0036987,0.091,0.0006,0.10028169,0.066141317,0.028084,-0.062417335,0.044474394,0.001444049,0.0466,0.02264559
2/28/2011,-0.016210103,0.00054,-0.0287,0.0342,0.0016,0.0016,0.003599148,0.09,0.0018,-0.060419867,0.055427555,0.02747,0.059016418,-0.129032258,0.001716627,0.0484,0.031956583
3/31/2011,0.002772177,0.00054,-0.02026,0.0347,0.0021,0.0014,0.006763441,0.09,0.0008,-0.033242507,0.01006527,0.026492,0.01478747,0.034074074,0.002635267,0.0466,-0.001047302
4/30/2011,-0.037593985,0.0146,0.00072,0.0332,0.0023,0.001,0.003883403,0.091,0.0036,-0.16854566,0.017500344,0.02685,0.091816785,0.064469914,0.00058492,0.0485,0.028495358
5/31/2011,-0.013990195,0.0146,0.02127,0.0305,0.0019,0.0009,0.002682454,0.09,0.0036,0.047457627,-0.050443348,0.025922,-0.017887063,-0.037685061,0.001708182,0.0549,-0.013500928
6/30/2011,0.011490082,0.0146,0.03005,0.0318,0.0022,0.0009,0.002187157,0.091,0.0008,0.069255663,-0.020927946,0.027024,-0.0231486,-0.109090909,0.000522949,0.0543,-0.018257508
7/31/2011,0.011499878,0.00816,0.02285,0.0282,0.0016,0.0007,0.004748792,0.09,0.0004,0.528450363,-0.01518044,0.024407,0.084569852,-0.124018838,0.000833251,0.0699,-0.021474437
8/31/2011,-0.01494336,0.00816,0.00775,0.0223,0.0031,0.001,0.001724604,0.09,0.0004,0.252277228,-0.093615464,0.020239,0.121999939,0.066308244,0.001877039,0.0768,-0.056791098
9/30/2011,0.015045872,0.00816,-0.01247,0.0192,0.0035,0.0008,0.004187761,0.09,0.0012,0.358633776,-0.11375466,0.016724,-0.110520117,0.021848739,0.001578896,0.0791,-0.071762013
10/31/2011,-0.041617819,0.01271,-0.02761,0.0217,0.0042,0.0007,0.00342891,0.088,0.0006,-0.302607076,0.183597914,0.018751,0.055986304,0.047697368,0.001063509,0.0761,0.107723038
11/30/2011,-0.008946207,0.01271,-0.03611,0.0208,0.0052,0.0008,0.000101592,0.086,0.0014,-0.072096128,0.009408316,0.018141,0.018458039,0.09733124,0.001574732,0.0752,-0.005058645
